question,options,votes
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(7, 19, 1, 13)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(7, 13, 19, 1)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(7, 19, 13, 1)"
1,"[1, 7, 13, 19]","(1, 19, 13, 7)"
1,"[1, 7, 13, 19]","(19, 1, 13, 7)"
1,"[1, 7, 13, 19]","(1, 7, 13, 19)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(13, 1, 19, 7)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(1, 13, 19, 7)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(7, 1, 13, 19)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(1, 19, 7, 13)"
1,"[1, 7, 13, 19]","(7, 13, 1, 19)"
1,"[1, 7, 13, 19]","(13, 7, 1, 19)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(19, 7, 13, 1)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(1, 7, 19, 13)"
1,"[1, 7, 13, 19]","(7, 1, 19, 13)"
1,"[1, 7, 13, 19]","(19, 7, 1, 13)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(13, 7, 19, 1)"
1,"[1, 7, 13, 19]","(19, 13, 7, 1)"
1,"[1, 7, 13, 19]","(13, 1, 7, 19)"
1,"[1, 7, 13, 19]","(19, 1, 7, 13)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(1, 13, 7, 19)"
1,"[1, 7, 13, 19]","(13, 19, 7, 1)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
1,"[1, 7, 13, 19]","(19, 13, 1, 7)"
1,"[1, 7, 13, 19]","(13, 19, 1, 7)"
